EVENT_ID,MUID,PUID1,CUID1,PUID2,CUID2,NOMATCH,GDCP_EVENT_TIME,TRACKING_TIME,X_EVENT,Y_EVENT,X_TRACKING,Y_TRACKING,SUBTYPE,FRAME_NUMBER,GDCP_EVENT_ID,NORECEIVER,XRec,YRec,RECFRM,EVALUATION,Goingright,PRESSURE,PRESSER,PRESSURE_RECEIVER,PRESSER_REC,Bypassed_Players,Bypassed_Defenders,xG,PENALTY,AssistTyp,DISTANCE,ANGLE,FREEKICK,FOOT,SPEED,PRESSURE_ON_SHOT,DEFENDERS,DISTANCE_GOALKEEPER,GK_INGOAL,Rotation,xPass,PossSpeed,PossAng,Dis_nearest_opp_rec,Dist_of_pass,Nearest_Defender_to_passing_lane,Angle_of_pass,OneTouch,Time_of_Possesion,BlockProb,Opp_Players_in_path,MIN_AVG_SPEED,MIN_VAR_SPEED,MIN_AVG_OWN_EVENT_SPEED,MIN_AVG_GOAL_DIST,MIN_VAR_GOAL_DIST,MIN_START_GOAL_DIST,MIN_BYPASSED_PLAYERS,MIN_BYPASSED_DEFENDERS,MIN_OWN_NONRECEIVED,MIN_ENEMY_NONRECEIVED,MIN_OWN_PRESSURE,MIN_ENEMY_PRESSURE,HFMIN_AVG_SPEED,HFMIN_VAR_SPEED,HFMIN_AVG_OWN_EVENT_SPEED,HFMIN_AVG_GOAL_DIST,HFMIN_VAR_GOAL_DIST,HFMIN_START_GOAL_DIST,HFMIN_BYPASSED_PLAYERS,HFMIN_BYPASSED_DEFENDERS,HFMIN_OWN_NONRECEIVED,HFMIN_ENEMY_NONRECEIVED,HFMIN_OWN_PRESSURE,HFMIN_ENEMY_PRESSURE,SEC_AVG_SPEED,SEC_VAR_SPEED,SEC_AVG_OWN_EVENT_SPEED,SEC_AVG_GOAL_DIST,SEC_VAR_GOAL_DIST,SEC_START_GOAL_DIST,SEC_BYPASSED_PLAYERS,SEC_BYPASSED_DEFENDERS,SEC_OWN_NONRECEIVED,SEC_ENEMY_NONRECEIVED,SEC_OWN_PRESSURE,SEC_ENEMY_PRESSURE,X_NEW,Y_NEW,GOALLINE_DISTANCE,GOAL_DISTANCE,Y_SIDE,X_DELTA,Y_CHANGE,GOAL_DIST_DELTA,Y_DELTA,XY_DELTA,TIME_DELTA,EVENT_SPEED,ReceiveInt
1.82065E+13,101,268,6,,,0,31:53.7,31:51.7,-2,2,1.8,3.5,OtherBallAction,10941,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3.418,24.127,5.338,30.764,275.356,33.185,6,1,0,2,0,0.321,3.965,32.39,5.338,30.764,275.356,33.185,6,1,0,1,0,0.332,7.655,56.286,7.655,28.304,801.849,8.281,6,1,0,0,0,0,51.8,3.5,48.2,48.327,1,42.6,1,40.046,9.6,43.668,2.35,18.582,0
1.82065E+13,101,805,18,799,18,0,32:03.0,32:03.1,41.7,-23.1,42.3,-21.7,Pass,11225,1.82065E+13,FALSE,40.61,-3.04,11304,successfullyComplete,FALSE,0,,0.433,268,0,0,,,,,,,,,,,,,,0.999,1.56,53.57,12.85,12.48,8.84,80.45,0,6.12,0,1,4.08,27.189,3.451,62.824,713.518,50.1,1,0,2,0,0.281,0,5.167,30.349,3.922,66.007,869.19,90.145,0,0,1,0,0.207,0,11.36,0,11.36,23.026,0,23.026,0,0,0,0,0,0,92.3,21.7,7.7,23.026,0,44.1,1,-28.647,25.2,50.792,11.36,4.471,0
1.82065E+13,101,799,18,807,18,0,32:06.3,32:06.5,40,-3.8,40.3,-2.8,Pass,11309,1.82065E+13,FALSE,26.76,27.08,11359,successfullyComplete,FALSE,0.47,268,0.038,249,1,0,,,,,,,,,,,,,,0.962,0.93,21.43,15.53,36.74,2.81,59.85,1,0,0,2,4.025,24.962,3.442,56.965,933.238,50.1,2,0,2,0,0.302,0,7.51,29.43,7.365,16.561,83.587,23.026,1,0,0,0,0.235,0,7.365,31.92,7.365,16.561,83.587,23.026,1,0,0,0,0.235,0,90.3,2.8,9.7,10.096,0,2,0,-12.93,18.9,19.006,3.37,5.64,0
1.82065E+13,101,807,18,815,18,0,32:08.0,32:09.2,25.5,30,27.4,26.9,Pass,11377,1.82065E+13,FALSE,37.46,20.53,11404,successfullyComplete,FALSE,0.341,249,0.08,271,0,0,,,,,,,,,,,,,,0.998,1.4,39.29,9.49,12.43,6.19,147.12,0,1.04,0,1,3.932,23.164,3.37,54.782,877.205,50.1,2,0,2,0,0.306,0,6.552,26.661,5.817,22.752,156.776,23.026,1,0,0,0,0.27,0,5.817,23.152,5.817,22.752,156.776,23.026,1,0,0,0,0.27,0,77.4,26.9,22.6,35.134,1,12.9,1,25.038,29.7,32.381,2.72,11.905,0
1.82065E+13,101,815,18,271,6,0,32:09.7,32:11.8,40.1,23.4,38.1,22.7,Pass,11442,1.82065E+13,TRUE,,,,unsuccessful,FALSE,0.726,271,0,,0,0,,,,,,,,,,,,,,0.588,0,0,0,0,0,30.76,1,0,0,0,3.843,21.63,3.299,52.132,866.741,50.1,2,0,3,0,0.344,0,5.892,23.945,5.01,23.471,106.589,23.026,1,0,1,0,0.384,0,5.01,18.038,5.01,23.471,106.589,23.026,1,0,1,0,0.384,0,88.1,22.7,11.9,25.63,1,10.7,0,-9.504,4.2,11.495,2.59,4.438,1
1.82065E+13,101,271,6,,,0,32:11.6,32:11.7,38,23.9,-37.5,23,OtherBallAction,11439,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3.595,21.169,4.246,42.706,919.53,33.185,6,1,0,3,0,0.344,5.033,25.117,5.063,49.027,1689.235,8.281,6,1,0,1,0,0.384,3.984,18.792,-0.12,90.472,0,90.472,0,0,0,1,0,0.384,12.5,23,87.5,90.472,1,0.6,0,16.102,0.3,0.671,-0.12,-5.59,0
1.82065E+13,101,271,6,815,18,0,32:12.2,32:11.6,35.6,24.4,-37.3,22.9,Ground,11438,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3.381,20.623,3.532,50.63,1112.421,33.185,6,1,0,3,0,0.344,4.399,24.746,3.788,59.333,1551.07,8.281,6,1,0,1,0,0.384,3.313,17.732,-0.08,90.363,0.024,90.472,0,0,0,1,0,0.384,12.7,22.9,87.3,90.254,1,0.2,0,-0.219,0.1,0.224,-0.04,-5.59,0
1.82065E+13,101,811,18,243,6,0,32:14.7,32:14.1,34.2,17.7,33.3,19.1,Air,11499,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3.329,19.459,3.228,49.902,847.623,50.1,2,0,3,0,0.316,0,4.181,22.079,4.496,23.851,80.663,23.026,1,0,1,0,0.307,0,1.827,2.283,2.78,24.058,107.267,10.096,1,0,1,0,0.384,0,83.3,19.1,16.7,25.371,1,4,0,15.625,3.8,5.517,2.44,2.261,0
1.82065E+13,101,811,18,,,0,32:15.5,32:14.2,32.1,20.5,33.5,19.1,OtherBallAction,11502,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3.336,19.409,3.238,47.83,898.228,33.916,2,0,3,0,0.316,0,3.776,21.267,3.768,24.083,64.852,23.026,1,0,1,0,0.256,0,1.584,2.313,2.25,24.294,80.73,10.096,1,0,1,0,0.307,0,83.5,19.1,16.5,25.24,1,0.2,0,-0.131,0,0.2,0.13,1.538,0
1.82065E+13,101,807,18,814,18,0,32:16.8,32:15.3,33.2,24.9,33.6,23.5,Pass,11530,1.82065E+13,FALSE,24.92,20.75,11557,successfullyComplete,FALSE,0.714,249,0.886,270,3,0,,,,,,,,,,,,,,0.644,0.31,3.57,2.05,11.78,1.07,5.45,1,0.16,0,1,3.219,18.589,3.075,46.355,851.653,33.916,5,0,3,0,0.346,0,3.535,19.781,3.39,24.736,57.032,23.026,4,0,1,0,0.322,0,1.526,2.01,2.062,25.021,67.756,10.096,4,0,1,0,0.375,0,83.6,23.5,16.4,28.657,1,0.1,0,3.417,4.4,4.401,1.12,3.93,0
1.82065E+13,101,814,18,,,0,32:17.6,32:16.4,25.5,24.1,25,20.8,OtherBallAction,11558,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3.114,17.831,2.936,45.367,799.811,33.916,5,0,3,0,0.321,0,3.333,18.469,3.106,25.709,56.461,23.026,4,0,1,0,0.281,0,1.481,1.777,1.927,26.093,64.499,10.096,4,0,1,0,0.322,0,75,20.8,25,32.521,1,8.6,0,3.865,2.7,9.014,1.12,8.048,0
1.82065E+13,101,271,6,,,0,31:34.6,31:34.0,-32.8,32.1,34.8,30.6,OtherBallAction,10497,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.902,110.288,-3.036,48.279,965.737,33.185,6,1,0,3,0,0.3,0.902,110.288,-3.036,48.279,965.737,33.185,6,1,0,3,0,0.3,0.735,128.133,-3.036,48.279,965.737,33.185,6,1,0,2,0,0.298,84.8,30.6,15.2,34.167,1,59.8,0,-33.311,9.8,60.598,-42.44,-1.428,0
1.82065E+13,101,243,6,271,6,0,32:18.7,32:17.1,30.9,21.8,-30.5,19.8,Pass,11576,1.82065E+13,FALSE,31.86,26.16,11598,successfullyComplete,TRUE,0.74,811,0.104,815,0,0,,,,,,,,,,,,,,0.931,1.4,35.71,3.44,5.02,2.01,82.1,1,0.2,0,1,2.857,200.772,2.738,52.606,977.599,33.185,6,1,0,3,0.092,0.327,6.396,138.881,11.66,64.047,1274.373,8.281,6,1,0,1,0.148,0.281,5.901,196.39,14.33,87.875,18.581,90.472,0,0,0,1,0.247,0.297,19.5,19.8,80.5,82.899,1,65.3,0,48.732,10.8,66.187,43.15,1.534,0
1.82065E+13,101,271,6,811,18,0,31:34.6,31:33.9,-34.9,31.6,35.2,30.6,Ground,10495,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.824,262.975,-2.37,50.538,893.901,33.185,6,1,0,3,0.082,0.3,0.824,262.975,-2.37,50.538,893.901,33.185,6,1,0,3,0.082,0.3,0.661,301.911,-2.37,50.538,893.901,33.185,6,1,0,2,0.082,0.298,85.2,30.6,14.8,33.991,1,65.7,0,-48.908,10.8,66.582,-43.23,-1.54,0
1.82065E+13,101,247,6,244,6,0,32:30.9,32:23.3,16,21.8,-14.7,19.6,Pass,11730,1.82065E+13,FALSE,-5.12,12.81,11774,successfullyComplete,TRUE,0.164,814,0,,0,0,,,,,,,,,,,,,,0.999,1.24,50,14.66,18.16,3.68,167.47,0,0.96,0,1,2.877,395.51,2.807,52.244,823.703,33.185,6,1,0,2,0.09,0.298,9.77,301.805,23.098,82.807,115.12,90.472,0,0,0,1,0.226,0.281,16.227,546.187,46.275,75.251,116.978,82.899,0,0,0,0,0.452,0.178,35.3,19.6,64.7,67.604,1,49.9,0,33.612,11,51.098,49.4,1.034,0
1.82065E+13,101,244,6,257,6,0,32:31.8,32:26.3,-4.3,13.5,5.4,9.2,Pass,11804,1.82065E+13,FALSE,-8.68,-9.94,11843,successfullyComplete,TRUE,0.015,810,0.128,802,0,0,,,,,,,,,,,,,,0.999,1.24,42.86,13.02,15.74,12.26,95.65,0,1.48,0,0,3.218,392.754,3.558,53.472,786.997,33.185,6,1,0,2,0.092,0.298,9.245,280.233,19.068,75.354,364.124,90.472,0,0,0,1,0.184,0.281,24.155,659.461,31.833,65.347,352.766,82.899,0,0,0,0,0.306,0,55.4,9.2,44.6,45.539,1,20.1,0,-22.065,10.4,22.631,2.95,7.672,0
1.82065E+13,101,257,6,247,6,0,32:32.7,32:31.6,-8.4,-10.9,7.3,-13.9,Pass,11938,1.82065E+13,FALSE,-2.06,-16.5,12025,successfullyComplete,TRUE,0.32,802,0.487,796,1,0,,,,,,,,,,,,,,0.558,0,0,3.17,7.4,1.97,39.46,0,0.56,0,2,2.98,390.318,3.034,54.644,747.896,8.281,7,1,0,2,0.124,0.298,8.968,259.754,16.783,70.279,445.814,90.472,1,0,0,1,0.207,0.281,19.237,683.822,19.237,52.683,167.076,67.604,1,0,0,0,0.166,0,57.3,13.9,42.7,44.905,0,1.9,1,-0.634,23.1,23.178,5.36,4.324,0
1.82065E+13,101,247,6,257,6,0,32:35.2,32:30.1,-2.3,-0.5,1.5,-4.3,Pass,11900,1.82065E+13,FALSE,-7.09,-13.75,11934,successfullyComplete,TRUE,0,,0.2,802,0,0,,,,,,,,,,,,,,0.96,1.09,46.43,3.38,9.81,3.38,139.51,1,0.16,0,2,3.11,359.765,3.285,52.36,651.306,33.185,7,1,0,2,0.103,0.298,8.269,248.534,14.169,67.195,438.093,90.472,1,0,0,1,0.177,0.281,14.048,563.591,14.048,51.685,115.369,67.604,1,0,0,0,0.125,0,51.5,4.3,48.5,48.69,0,5.8,0,3.785,9.6,11.216,-1.52,-7.379,0
1.82065E+13,101,257,6,812,18,0,32:35.6,32:31.6,-7.6,-10.5,7.3,-13.9,Pass,11938,1.82065E+13,TRUE,,,,unsuccessful,TRUE,0.32,802,0,,0,0,,,,,,,,,,,,,,0.79,0.62,3.57,3.8,13.68,4.33,19.65,0,0.56,0,1,2.732,357.286,2.528,53.336,621.893,8.281,7,1,1,2,0.13,0.298,7.847,234.811,12.588,64.409,437.61,90.472,1,0,1,1,0.195,0.281,11.542,454.081,11.542,50.329,95.718,67.604,1,0,1,0,0.164,0,57.3,13.9,42.7,44.905,0,5.8,0,-3.785,9.6,11.216,1.52,7.379,1
1.82065E+13,101,812,18,802,18,0,32:38.7,32:34.1,3,-19.1,1.4,-19.5,Pass,12000,1.82065E+13,FALSE,-2.86,-20.19,12013,successfullyComplete,FALSE,0.622,247,0.385,257,2,1,,,,,,,,,,,,,,0.99,1.4,53.57,4.87,5.65,2.72,3.04,0,1.32,0,1,6.944,184.019,2.71,37.172,460.425,75.427,6,1,1,1,0.261,0.156,7.292,235.58,1.996,29.377,141.571,10.096,6,1,1,1,0.359,0.195,2.158,6.23,2.48,52.366,0,52.366,2,1,0,1,0.622,0.164,51.4,19.5,48.6,52.366,0,8.7,0,-2.728,5.6,10.346,2.48,4.172,0
1.82065E+13,101,812,18,252,6,0,32:38.2,32:32.8,4.5,-18.7,4.1,-19.6,Ground,11968,1.82065E+13,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.429,342.518,2.338,42.227,603.374,90.145,6,1,2,1,0.285,0.13,7.042,213.084,2.606,30.795,159.202,23.026,6,1,1,1,0.287,0.195,8.417,332.373,0.605,51.138,3.017,52.366,2,1,0,1,0.311,0.164,54.1,19.6,45.9,49.91,0,2.7,0,-2.456,0.1,2.702,-1.27,-2.127,0
1.82065E+13,101,802,18,796,18,0,32:40.4,32:34.8,-2.7,-19.9,-3.9,-20.4,Pass,12017,1.82065E+13,FALSE,-0.95,-11.96,12042,successfullyComplete,FALSE,0.446,257,0.066,247,0,0,,,,,,,,,,,,,,0.652,0.16,14.29,4.22,9.15,0.02,141.48,1,0.28,0,2,6.37,171.146,2.345,39.726,425.024,75.427,6,1,1,1,0.255,0.156,6.519,213.224,1.665,34.256,219.209,10.096,6,1,1,1,0.332,0.195,1.639,5.804,1.053,53.302,15.564,52.366,2,1,0,1,0.356,0.164,46.1,20.4,53.9,57.631,0,8,0,7.722,0.8,8.04,1.95,4.123,0
1.82065E+13,101,796,18,810,18,0,32:41.4,32:36.7,-14.1,-3.2,-0.5,-8,Pass,12066,1.82065E+13,FALSE,-10.51,-2.82,12081,successfullyComplete,FALSE,0.232,271,0.294,244,5,3,,,,,,,,,,,,,,0.811,0.78,21.43,3.95,9.97,3.88,18.24,0,1.12,0,2,6.635,177.504,2.498,34.726,216.462,23.026,11,4,1,1,0.296,0.156,6.441,213.857,1.524,38.359,167.284,35.134,10,4,1,1,0.308,0.195,1.497,5.511,1.28,52.759,11.556,52.366,7,4,0,1,0.325,0.213,49.5,8,50.5,51.13,0,3.4,0,-6.502,12.4,12.858,1.96,6.56,0
1.82065E+13,101,814,18,807,18,0,32:42.4,32:39.2,-6.5,9.5,-7.3,5.7,Pass,12128,1.82065E+13,FALSE,-6.8,18.96,12171,successfullyComplete,FALSE,0.264,243,0.162,249,0,0,,,,,,,,,,,,,,0.998,1.24,50,9.3,12.85,8.51,100.54,0,1.2,0,1,6.455,170.183,2.497,36.484,238.611,23.026,11,4,1,1,0.293,0.156,6.428,213.96,1.501,40.604,201.591,25.63,10,4,1,1,0.3,0.195,1.621,4.847,1.522,53.724,13.32,52.366,7,4,0,1,0.313,0.213,42.7,5.7,57.3,57.583,1,6.8,1,6.453,13.7,15.295,2.49,6.142,0
1.82065E+13,101,807,18,815,18,0,32:43.3,32:41.6,-6.1,20.9,-6.6,19.3,Pass,12188,1.82065E+13,FALSE,4.9,14.06,12232,successfullyComplete,FALSE,0.211,249,0,,0,0,,,,,,,,,,,,,,0.999,1.56,50,13.36,13.19,6.7,148.61,0,1.56,0,1,6.286,163.472,2.489,38.15,259.087,23.026,11,4,1,1,0.288,0.156,6.563,212.439,1.582,42.349,214.931,25.63,10,4,1,1,0.292,0.223,1.667,2.131,1.667,54.737,16.81,52.366,7,4,0,0,0.296,0,43.4,19.3,56.6,59.8,1,0.7,0,2.217,13.6,13.618,2.39,5.698,0
1.82065E+13,101,815,18,796,18,0,32:44.6,32:43.9,4.4,14.1,5.6,13.7,Pass,12244,1.82065E+13,FALSE,9.43,-3.12,12279,successfullyComplete,FALSE,0,,0,,0,0,,,,,,,,,,,,,,0.998,1.09,28.57,12.79,15.56,8.5,94.87,0,1,0,1,5.84,162.036,2.473,38.704,245.191,23.026,11,4,1,1,0.268,0.173,6.936,222.953,1.551,44.243,184.727,25.371,10,4,0,1,0.226,0.26,2.253,0.061,2.253,54.163,25.436,52.366,7,4,0,0,0.296,0,55.6,13.7,44.4,46.466,1,12.2,0,-13.335,5.6,13.424,2.25,5.966,0
1.82065E+13,101,796,18,799,18,0,32:47.2,32:48.4,8.3,-10.6,7.8,-8.4,Pass,12358,1.82065E+13,FALSE,8.68,4.36,12381,successfullyComplete,FALSE,0,,0,,0,0,,,,,,,,,,,,,,0.999,1.56,42.86,13.29,11.97,9.2,98.41,0,3.44,0,1,5.932,161.569,2.604,38.974,230.013,23.026,11,4,1,1,0.252,0.195,5.732,175.701,2.101,52.239,34.236,52.366,7,4,0,1,0.222,0.164,2.923,1.201,2.923,51.719,67.607,57.583,0,0,0,0,0.119,0,57.8,8.4,42.2,43.028,0,2.2,1,-3.438,22.1,22.209,4.56,4.87,0
1.82065E+13,101,799,18,815,18,0,32:51.4,32:50.8,7.6,8.3,7.7,8.9,Pass,12418,1.82065E+13,FALSE,4.98,21.44,12450,successfullyComplete,FALSE,0,,0,,0,0,,,,,,,,,,,,,,0.999,1.56,46.43,12.42,11.35,12.03,79.44,0,1.68,0,0,5.558,160.685,2.044,40.237,212.561,10.096,11,4,1,1,0.252,0.195,5.494,162.979,2.134,51.238,38.983,52.366,7,4,0,1,0.197,0.164,2.9,1.229,2.9,48.13,63.013,59.8,0,0,0,0,0.053,0,57.7,8.9,42.3,43.226,1,0.1,1,0.198,17.3,17.3,2.4,7.208,0
1.82065E+13,101,815,18,799,18,0,32:52.7,32:53.4,4.8,21.3,5.2,21.6,Pass,12482,1.82065E+13,FALSE,12.32,9.68,12520,successfullyComplete,FALSE,0.071,271,0,,0,0,,,,,,,,,,,,,,1,1.56,46.43,14.31,11.58,12.77,120.46,0,1.8,0,0,5.525,160.866,1.993,42.714,151.465,35.134,10,4,1,1,0.227,0.195,2.149,3.301,2.177,51.087,34.877,52.366,7,4,0,1,0.185,0.164,2.942,1.179,2.942,45.614,10.033,46.466,0,0,0,0,0.018,0,55.2,21.6,44.8,49.735,1,2.5,0,6.509,12.7,12.944,2.56,5.056,0
